From Bus  Number,From Bus  Name,To Bus  Number,To Bus  Name,Id,Name,Term Node Num (From),Term Node Name (From),Term Node Num (To),Term Node Name (To),In Service,Metered,Winding 1 Side,Controlled Bus,Controlled Bus Side,Controlled Node Number,Controlled Bus Section,Tap Positions,Control Mode,Auto Adjust,Winding I/O Code,Impedance I/O Code,Admittance I/O Code,Specified R (pu or watts),Specified X (pu),RATE1 (MVA),RATE2 (MVA),RATE3 (MVA),Magnetizing G (pu or watts),Magnetizing B (pu),Owner 1,Fraction 1,Owner 2,Fraction 2,Owner 3,Fraction 3,Owner 4,Fraction 4,Winding  MVA Base,Wnd 1 Ratio  (pu or kV),Wnd 1 Nominal kV,Wnd 1 Angle (degrees),Wnd 2 Ratio  (pu or kV),Wnd 2 Nominal kV,"Rmax (pu, kV, deg)","Rmin (pu, kV, deg)","Vmax (pu, Mvar, MW)","Vmin (pu, Mvar, MW)",Wnd Connect Angle (deg),Load Drop Comp R (pu),Load Drop Comp X (pu),Impedance table,R (table corrected pu or watts),X (table corrected pu),Vector Group,Edit Vector Group,Connection Code,Edit Connection Code,Leakage impedance I/O code,Grounding impedance I/O code,RG1,XG1,R01 (pu),X01 (pu),RG2,XG2,R02 (pu),X02 (pu),RNutrl,XNutrl,RATE4 (MVA),RATE5 (MVA),RATE6 (MVA),RATE7 (MVA),RATE8 (MVA),RATE9 (MVA),RATE10 (MVA),RATE11 (MVA),RATE12 (MVA),Zbase,R (ohm),X (ohm)
10111,ABNE1Q      132.00,10130,ABNE3-      33.000,1,,,,,,1,1,1,10130,0,0,10130,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0105,0.2798,60,60,60,0,0,1,1,0,1,0,1,0,1,100,0.9833,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0105,0.2798,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),4.95,0,0.0105,0.2798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.82952,48.752352
10112,ABNE1R      132.00,10130,ABNE3-      33.000,2,,,,,,1,1,1,10130,0,0,10130,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0105,0.285,60,60,60,0,0,1,1,0,1,0,1,0,1,100,0.9833,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0105,0.285,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),4.95,0,0.0105,0.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.82952,49.6584
10132,JAMB3-      33.000,10182,JAMB8-      0.4000,1,,,,,,1,1,1,10182,0,0,10182,18,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00571,0.1143,52.5,52.5,52.5,0,0,1,1,0,1,0,1,0,1,52.5,1,0,0,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.00571,0.1143,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.0053,0.1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.74285714,0.109937143,2.227782857
10211,AIGA1Q      132.00,10250,AIGA5-      11.000,1,,,,,,1,1,1,10250,0,0,10250,15,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0176,0.4489,22.5,22.5,22.5,0,0,1,1,0,1,0,1,0,1,100,1.005,0,30,1,0,1.08,0.87,1.03,0.98,0,0,0,0,0.0176,0.4489,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),0,0,0.0176,0.4489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,3.066624,78.216336
10311,ALNE1Q      132.00,10330,ALNE3J      33.000,1,,,,,,1,1,1,10330,0,0,10330,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00365,0.26,120,120,120,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.00365,0.26,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.0033,0.2359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.574992,41.103216
10312,ALNE1R      132.00,10330,ALNE3J      33.000,2,,,,,,1,1,1,10330,0,0,10330,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00365,0.26,120,120,120,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.00365,0.26,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.0033,0.2359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.574992,41.103216
10336,COIN3-      33.000,10386,COIN8-      0.6900,1,,,,,,1,1,1,0,0,0,,5,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.005,0.1,60,60,60,0,0,1,1,0,1,0,1,0,1,100,1,33,0,1,0.69,1.05,0.95,1.01,0.98,0,0,0,0,0.005,0.1,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.0047,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.051183,1.02366
10337,NOVW32      33.000,10387,NOVW82      0.7000,1,,,,,,1,1,1,0,0,0,,19,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.01,0.1,60,60,60,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.15,0.85,1.03,0.98,0,0,0,0,0.01,0.1,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.1089,1.089
10338,NOVA3-      33.000,10388,NOVA8W      0.7000,1,,,,,,1,1,1,0,0,0,,19,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.04,0.4,20,20,20,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.1458,0.8459,1.01,0.98,0,0,0,0,0.04,0.4,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.04,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.4356,4.356
10339,BETH3-      33.000,10389,BETH8W      0.7000,1,,,,,,1,1,1,0,0,0,,19,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.02,0.2,40,40,40,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.1458,0.8459,1.01,0.98,0,0,0,0,0.02,0.2,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.02,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.2178,2.178
10411,ARBR1Q      132.00,10430,ARBR3-      33.000,1,,,,,,1,1,1,10430,0,0,10430,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.007,0.2829,45,45,45,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.007,0.2829,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),9.93,0,0.007,0.2829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.21968,49.292496
10412,ARBR1R      132.00,10430,ARBR3-      33.000,2,,,,,,1,1,1,10430,0,0,10430,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.007,0.2829,45,45,45,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.007,0.2829,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),9.93,0,0.007,0.2829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.21968,49.292496
10431,ARBS31      33.000,10481,ARBS81      0.4000,1,,,,,,1,1,1,0,0,0,,18,Voltage,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0075,0.15,40,40,40,0,0,1,1,0,1,0,1,0,1,54,0.9941,33,0,1,0.4,1.1,0.8,1.03,0.98,0,0,0,0,0.0075,0.15,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.007,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16666667,0.141166667,2.8435
10520,BEAT2-      220.00,10530,BEAT3-      33.000,1,,,,,,1,1,1,10530,0,0,10530,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.000189,0.027343,640,640,640,0.00081,-0.0031,1,1,0,1,0,1,0,1,640,1,220,30,1,33,1.15,0.85,1.03,0.98,0,0,0,0,0.00019,0.02734,YNd1,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.00018,0.0257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.625,0.0136125,1.9435625
10520,BEAT2-      220.00,10540,BEAT4-      400.00,1,,,,,,1,0,0,10520,0,0,10520,33,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.000119,0.026562,640,640,640,0.00076,-0.00116,1,1,0,1,0,1,0,1,640,1,400,0,1,220,1.15,0.85,1.03,0.98,0,0,0,0,0.00012,0.02656,YNyn0,,"1 - Series path, no ground path",,Z pu (system base),Z pu (system base),0,0,0.00011,0.02497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.625,0.00831875,1.88835625
10530,BEAT3-      33.000,10580,BEAT8-      0.6900,1,,,,,,1,1,1,10580,0,0,10580,18,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.000469,0.009375,640,640,640,0,0,1,1,0,1,0,1,0,1,640,1,33,0,1,0.69,1.1,0.8,1.03,0.98,0,0,0,0,0.00047,0.00937,Dd0,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.00044,0.00881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7015625,0.000748688,0.014990766
10540,BEAT4-      400.00,10543,BESC8M      19.000,1,,,,,,1,1,1,10543,0,0,10543,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.002,0.21,50,50,50,0,0,1,1,0,1,0,1,0,1,50,1,400,30,1,19,1.15,0.85,1.03,0.98,0,0,0,0,0.002,0.21,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),0,0,0.002,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,6.4,604.8
10540,BEAT4-      400.00,10544,BESC8N      19.000,1,,,,,,1,1,1,10544,0,0,10544,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.002,0.21,50,50,50,0,0,1,1,0,1,0,1,0,1,50,1,400,30,1,19,1.15,0.85,1.03,0.98,0,0,0,0,0.002,0.21,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),0,0,0.002,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,6.4,604.8
