From Bus  Number,From Bus  Name,To Bus  Number,To Bus  Name,Id,Name,Line R (pu),Line X (pu),Charging B (pu),RATE1 (I as MVA),RATE2 (I as MVA),RATE3 (I as MVA),Length,R-Zero (pu),X-Zero (pu),B-Zero (pu),Zbase,R (ohm),X (ohm),Charging B (ohm),R-Zero (ohm),X-Zero (ohm),B-Zero (ohm)
10111,ABNE1Q      132.00,10112,ABNE1R      132.00,1,,0.0001,0.0001,0,9999,9999,9999,0,0.0001,0.0005,0,174.24,0.017,0.017,,0.017,0.087,
10111,ABNE1Q      132.00,12010,CHAR1-      132.00,1,,0.0249,0.0566,0.0122,132,123,106,24.5,0.0576,0.1581,0,174.24,4.339,9.862,,10.036,27.547,
10112,ABNE1R      132.00,16313,AMUL1G      132.00,1,,0.028706,0.065818,0.01397,132,123,106,28.1,0.07239,0.1979,0,174.24,5.002,11.468,,12.613,34.482,
10130,ABNE3-      33.000,10132,JAMB3-      33.000,1,,0.0212,0.0582,0,35.4,33.9,31.2,2,0.0636,0.1746,0,10.89,0.231,0.634,,0.693,1.901,
10130,ABNE3-      33.000,10132,JAMB3-      33.000,2,,0.0212,0.0582,0,35.4,33.9,31.2,2,0.0636,0.1746,0,10.89,0.231,0.634,,0.693,1.901,
10211,AIGA1Q      132.00,15911,KIOR1Q      132.00,1,,0.00264,0.00594,0.0066,111,103,89,2.92,0.00763,0.01698,0,174.24,0.460,1.035,,1.329,2.959,
10311,ALNE1Q      132.00,23111,FYRI1J      132.00,1,,0.0006,0.00202,0.02547,156,142,142,2.1,0.00128,0.00086,0.02547,174.24,0.105,0.352,,0.223,0.150,
10312,ALNE1R      132.00,23112,FYRI1K      132.00,1,,0.0006,0.00202,0.02547,156,142,142,2.1,0.00128,0.00086,0.02547,174.24,0.105,0.352,,0.223,0.150,
10330,ALNE3J      33.000,10336,COIN3-      33.000,1,,0.1295,0.168,0,38.3,34.8,34.8,17.5,0.3885,0.504,0,10.89,1.410,1.830,,4.231,5.489,
10330,ALNE3J      33.000,10337,NOVW32      33.000,1,,0.0593,0.1325,0,47.9,46.9,43.4,13,0.0593,0.1325,0,10.89,0.646,1.443,,0.646,1.443,
10330,ALNE3J      33.000,10337,NOVW32      33.000,2,,0.0593,0.1325,0,47.9,46.9,43.4,13,0.0593,0.1325,0,10.89,0.646,1.443,,0.646,1.443,
10330,ALNE3J      33.000,10338,NOVA3-      33.000,1,,0.1336,0.254,0,22.3,21.1,18,8.45,0.3728,0.7355,0,10.89,1.455,2.766,,4.060,8.010,
10330,ALNE3J      33.000,10339,BETH3-      33.000,1,,0.0607,0.13557,0,47.9,46.9,43.4,13.3,0.0607,0.13557,0,10.89,0.661,1.476,,0.661,1.476,
10330,ALNE3J      33.000,102631,STRY3-      33.000,1,,0.0468,0.0964,0,47.9,43.4,43.4,10,0.0468,0.0964,0,10.89,0.510,1.050,,0.510,1.050,
10411,ARBR1Q      132.00,13011,DENS1Q      132.00,1,,0.013195,0.03364,0.00725,132,123,106,14.5,0.0306,0.09135,0.00435,174.24,2.299,5.861,,5.332,15.917,
10412,ARBR1R      132.00,13012,DENS1R      132.00,1,,0.013195,0.03364,0.00725,132,123,106,14.5,0.0306,0.09135,0.00435,174.24,2.299,5.861,,5.332,15.917,
10430,ARBR3-      33.000,10431,ARBS31      33.000,1,,0.0281,0.03,0,31.7,28.5,28.5,3,0.0281,0.03,0,10.89,0.306,0.327,,0.306,0.327,
10430,ARBR3-      33.000,10431,ARBS31      33.000,2,,0.0281,0.03,0,31.7,28.5,28.5,3,0.0281,0.03,0,10.89,0.306,0.327,,0.306,0.327,
10540,BEAT4-      400.00,10740,BLHI4-      400.00,1,,0.0001,0.0001,0,9999,9999,9999,0,0.001,0.0001,0,1600,0.160,0.160,,1.600,0.160,
10610,BEAU1N      132.00,10612,BEAU1K      132.00,1,,0.0001,0.000167,0.00305,141,136,136,0.25,0.00018,0.0001,0.00305,174.24,0.017,0.029,,0.031,0.017,
10610,BEAU1N      132.00,17710,KNOC1J      132.00,1,,0.015561,0.039843,0.00855,132,123,106,17.1,0.03625,0.10705,0.00513,174.24,2.711,6.942,,6.316,18.652,
10611,BEAU1J      132.00,10612,BEAU1K      132.00,1,,0.0001,0.0001,0,9999,9999,9999,0,0.0001,0.0005,0,174.24,0.017,0.017,,0.017,0.087,
10611,BEAU1J      132.00,10617,BEAU1R      132.00,1,,0.000315,0.00197,0.03941,265,263,263,2.4,0.00106,0.00074,0.03941,174.24,0.055,0.343,,0.185,0.129,
10611,BEAU1J      132.00,10619,BEAU1T      132.00,1,,0.0001,0.000147,0.00268,141,136,136,0.22,0.00016,0.0001,0.00268,174.24,0.017,0.026,,0.028,0.017,
10611,BEAU1J      132.00,12711,CULL1Q      132.00,1,,0.0143,0.0328,0.0069,111,103,89,14,0.0359,0.0977,0,174.24,2.492,5.715,,6.255,17.023,
10611,BEAU1J      132.00,50111,DUCC1J      132.00,1,,0.000219,0.001198,0.1047,444,403,403,3.1,0.00078,0.00052,0,174.24,0.038,0.209,,0.136,0.091,
10612,BEAU1K      132.00,10618,BEAU1S      132.00,1,,0.000315,0.00197,0.03941,265,263,263,2.4,0.00106,0.00074,0.03941,174.24,0.055,0.343,,0.185,0.129,
10612,BEAU1K      132.00,15911,KIOR1Q      132.00,1,,0.0013,0.0029,0.0006,111,103,89,1.3,0.0031,0.0085,0,174.24,0.227,0.505,,0.540,1.481,
10612,BEAU1K      132.00,50112,DUCC1K      132.00,1,,0.000219,0.001198,0.1047,444,403,403,3.1,0.00078,0.00052,0,174.24,0.038,0.209,,0.136,0.091,
10613,BEAU1P      132.00,10615,BEAU1L      132.00,1,,0.000634,0.001599,0.02062,152,140,140,1.74,0.00132,0.00072,0.02062,174.24,0.110,0.279,,0.230,0.125,
10614,BEAU1Q      132.00,10616,BEAU1M      132.00,1,,0.000634,0.001599,0.02062,152,140,140,1.74,0.00132,0.00072,0.02062,174.24,0.110,0.279,,0.230,0.125,
10615,BEAU1L      132.00,17612,MOTA1R      132.00,1,,0.030145,0.069027,0.01469,126,117,101,29.67,0.05911,0.20401,0,174.24,5.252,12.027,,10.299,35.547,
10616,BEAU1M      132.00,17611,MOTA1Q      132.00,1,,0.030145,0.069027,0.01469,132,123,106,29.67,0.05911,0.20401,0,174.24,5.252,12.027,,10.299,35.547,
10617,BEAU1R      132.00,15111,INNE1Q      132.00,1,,0.006834,0.030016,0.00697,241,230,210,13.4,0.01688,0.07879,0.00415,174.24,1.191,5.230,,2.941,13.728,
10618,BEAU1S      132.00,15112,INNE1R      132.00,1,,0.006834,0.030016,0.00697,241,230,210,13.4,0.01688,0.07879,0.00415,174.24,1.191,5.230,,2.941,13.728,
10619,BEAU1T      132.00,17710,KNOC1J      132.00,1,,0.015561,0.039843,0.00855,132,123,106,17.1,0.03525,0.10705,0.00513,174.24,2.711,6.942,,6.142,18.652,
10620,BEAU2J      275.00,10629,BEAU2K      275.00,1,,0.0001,0.0001,0,9999,9999,9999,0,0.0001,0.0001,0,756.25,0.076,0.076,,0.076,0.076,
10620,BEAU2J      275.00,13820,FASN2-      275.00,1,,0.00069,0.01025,0.0723,1910,1830,1710,25.3,0.00455,0.03034,0.04398,756.25,0.522,7.752,,3.441,22.945,
10620,BEAU2J      275.00,17721,KNOC2L      275.00,1,,0.00099,0.00687,0.04672,935,880,790,16.8,0.00356,0.01893,0.02822,756.25,0.749,5.195,,2.692,14.316,
10620,BEAU2J      275.00,23121,FYRI2J      275.00,1,,0.00183,0.016772,0.06465,702,665,599,30.5,0.00701,0.04025,0.043,756.25,1.384,12.684,,5.301,30.439,
10629,BEAU2K      275.00,17728,KNOC2M      275.00,2,,0.00099,0.00687,0.04672,935,880,790,16.8,0.00356,0.01893,0.02822,756.25,0.749,5.195,,2.692,14.316,
10629,BEAU2K      275.00,23122,FYRI2K      275.00,2,,0.00183,0.016772,0.06465,702,665,599,30.5,0.00701,0.04025,0.043,756.25,1.384,12.684,,5.301,30.439,
10630,BEAU3-      33.000,20030,TORA3-      33.000,1,,0.304,0.583,0,17,17,17,0,0.912,1.749,0,10.89,3.311,6.349,,9.932,19.047,
10640,BEAU4-      400.00,13940,FAUG4J      400.00,1,,0.00063,0.00931,0.29386,2780,2670,2480,48.6,0.00413,0.02755,0.30994,1600,1.008,14.896,,6.608,44.080,
10711,BLHI1J      132.00,10712,BLHI1K      132.00,1,,0.0001,0.0001,0,9999,9999,9999,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
