Bus  Number,Section Number,Substation  Number,Bus  Name,Base kV, Area Num, Area Name,Zone Num,Zone Name,Owner Num,Owner Name,Code,Voltage (pu),Angle (deg),Normal Vmax (pu),Normal Vmin (pu),Emergency Vmax (pu),Emergency Vmin (pu)
10111,,,ABNE1Q,132,1,SHET,40,T4,1,SHET,1,1.0089,63.12,1.1,0.9,1.1,0.9
10112,,,ABNE1R,132,1,SHET,40,T4,1,SHET,1,1.0089,63.12,1.1,0.9,1.1,0.9
10130,,,ABNE3-,33,1,SHET,40,T4,1,SHET,-2,1.0138,32.08,1.1,0.9,1.1,0.9
10132,,,JAMB3-,33,1,SHET,40,T4,1,SHET,1,1.0117,32.3,1.1,0.9,1.1,0.9
10182,,,JAMB8-,0.4,1,SHET,48,T4 STORAGE,1,SHET,2,1,32.97,1.1,0.9,1.1,0.9
10211,,,AIGA1Q,132,1,SHET,10,T1,1,SHET,1,1.0174,83.88,1.1,0.9,1.1,0.9
10250,,,AIGA5-,11,1,SHET,12,T1 HYDRO,1,SHET,-2,1.0129,57.36,1.1,0.9,1.1,0.9
10311,,,ALNE1Q,132,1,SHET,50,T5,1,SHET,1,1.0146,83.91,1.1,0.9,1.1,0.9
10312,,,ALNE1R,132,1,SHET,50,T5,1,SHET,1,1.0146,83.91,1.1,0.9,1.1,0.9
10330,,,ALNE3J,33,1,SHET,50,T5,1,SHET,-2,1.0118,57.64,1.1,0.9,1.1,0.9
10336,,,COIN3-,33,1,SHET,50,T5,1,SHET,1,1.02,59.05,1.1,0.9,1.1,0.9
10337,,,NOVW32,33,1,SHET,50,T5,1,SHET,1,1.017,58.15,1.1,0.9,1.1,0.9
10338,,,NOVA3-,33,1,SHET,50,T5,1,SHET,1,1.0195,58.73,1.1,0.9,1.1,0.9
10339,,,BETH3-,33,1,SHET,50,T5,1,SHET,1,1.0181,58.52,1.1,0.9,1.1,0.9
10386,,,COIN8-,0.7,1,SHET,54,T5 ON WIND,1,SHET,2,1.0167,59.72,1.1,0.9,1.1,0.9
10387,,,NOVW82,0.7,1,SHET,54,T5 ON WIND,1,SHET,2,1.02,58.96,1.1,0.9,1.1,0.9
10388,,,NOVA8W,0.7,1,SHET,54,T5 ON WIND,1,SHET,2,1.02,60.37,1.1,0.9,1.1,0.9
10389,,,BETH8W,0.7,1,SHET,54,T5 ON WIND,1,SHET,2,1.02,59.8,1.1,0.9,1.1,0.9
10411,,,ARBR1Q,132,1,SHET,40,T4,1,SHET,1,1.0061,64.01,1.1,0.9,1.1,0.9
10412,,,ARBR1R,132,1,SHET,40,T4,1,SHET,1,1.0084,63.56,1.1,0.9,1.1,0.9
10430,,,ARBR3-,33,1,SHET,40,T4,1,SHET,-2,1.0109,31.1,1.1,0.9,1.1,0.9
10431,,,ARBS31,33,1,SHET,40,T4,1,SHET,1,1.0121,31.16,1.1,0.9,1.1,0.9
10481,,,ARBS81,0.4,1,SHET,48,T4 STORAGE,1,SHET,2,1.02,31.73,1.1,0.9,1.1,0.9
10520,,,BEAT2-,220,1,SHET,60,T6,1,SHET,1,1.0095,92.48,1.1,0.9,1.1,0.9
10530,,,BEAT3-,33,1,SHET,60,T6,1,SHET,1,1.0154,66.97,1.1,0.9,1.1,0.9
10540,,,BEAT4-,400,1,SHET,60,T6,1,SHET,1,1.01,88.1,1,0.9,1.1,0.9
10543,,,BESC8M,19,1,SHET,60,T6,1,SHET,2,1.02,58.09,1.1,0.9,1.1,0.9
10544,,,BESC8N,19,1,SHET,60,T6,1,SHET,2,1.02,58.09,1.1,0.9,1.1,0.9
10580,,,BEAT8-,0.7,1,SHET,65,T6 OFF WIND,1,SHET,2,1.02,68.49,1.1,0.9,1.1,0.9
10610,,,BEAU1N,132,1,SHET,10,T1,1,SHET,1,1.0168,83.79,1.1,0.9,1.1,0.9
10611,,,BEAU1J,132,1,SHET,10,T1,1,SHET,1,1.0168,83.79,1.1,0.9,1.1,0.9
10612,,,BEAU1K,132,1,SHET,10,T1,1,SHET,1,1.0168,83.79,1.1,0.9,1.1,0.9
10613,,,BEAU1P,132,1,SHET,10,T1,1,SHET,1,1.0173,86.73,1.1,0.9,1.1,0.9
10614,,,BEAU1Q,132,1,SHET,10,T1,1,SHET,1,1.0173,86.73,1.1,0.9,1.1,0.9
10615,,,BEAU1L,132,1,SHET,10,T1,1,SHET,1,1.0173,86.72,1.1,0.9,1.1,0.9
10616,,,BEAU1M,132,1,SHET,10,T1,1,SHET,1,1.0173,86.72,1.1,0.9,1.1,0.9
10617,,,BEAU1R,132,1,SHET,10,T1,1,SHET,1,1.0168,83.79,1.1,0.9,1.1,0.9
10618,,,BEAU1S,132,1,SHET,10,T1,1,SHET,1,1.0168,83.79,1.1,0.9,1.1,0.9
10619,,,BEAU1T,132,1,SHET,10,T1,1,SHET,1,1.0168,83.79,1.1,0.9,1.1,0.9
10620,,,BEAU2J,275,1,SHET,10,T1,1,SHET,2,1.01,82.09,1.1,0.9,1.1,0.9
10629,,,BEAU2K,275,1,SHET,10,T1,1,SHET,1,1.0102,82.1,1.1,0.9,1.1,0.9
10630,,,BEAU3-,33,1,SHET,10,T1,1,SHET,-2,0.9966,53.45,1.1,0.9,1.1,0.9
10635,,,BEAU3U,33,1,SHET,10,T1,1,SHET,1,1.0092,112.92,1.1,0.9,1.1,0.9
10636,,,BEAU3V,33,1,SHET,10,T1,1,SHET,1,1.0094,112.92,1.1,0.9,1.1,0.9
10637,,,BEAU3W,33,1,SHET,10,T1,1,SHET,1,1.0173,114.13,1.1,0.9,1.1,0.9
10638,,,BEAU3X,33,1,SHET,10,T1,1,SHET,1,1.0173,114.12,1.1,0.9,1.1,0.9
10639,,,BEAU3Y,33,1,SHET,10,T1,1,SHET,1,1.0163,114.09,1.1,0.9,1.1,0.9
10640,,,BEAU4-,400,1,SHET,10,T1,1,SHET,1,1.0083,79.61,1.1,0.9,1.1,0.9
10711,,,BLHI1J,132,1,SHET,60,T6,1,SHET,1,1.0184,86.74,1.1,0.9,1.1,0.9
10712,,,BLHI1K,132,1,SHET,60,T6,1,SHET,1,1.0184,86.74,1.1,0.9,1.1,0.9
10720,,,BLHI2J,275,1,SHET,60,T6,1,SHET,1,1.0148,85.56,1.1,0.9,1.1,0.9
10725,,,CAIN2-,275,1,SHET,60,T6,1,SHET,1,1.0125,85.03,1.1,0.9,1.1,0.9
10729,,,BLHI2K,275,1,SHET,60,T6,1,SHET,1,1.0149,85.56,1.1,0.9,1.1,0.9
10733,,,BLHI3X,33,1,SHET,60,T6,1,SHET,1,1.0173,115.15,1.1,0.9,1.1,0.9
10735,,,BLHI3U,33,1,SHET,60,T6,1,SHET,1,1.0185,116.97,1.1,0.9,1.1,0.9
10736,,,BLHI3V,33,1,SHET,60,T6,1,SHET,1,1.0186,116.98,1.1,0.9,1.1,0.9
10737,,,BLHI3W,33,1,SHET,60,T6,1,SHET,1,1.0172,115.17,1.1,0.9,1.1,0.9
10738,,,CAIN3J,33,1,SHET,60,T6,1,SHET,1,1.0151,56.51,1.1,0.9,1.1,0.9
10739,,,CLAS3K,33,1,SHET,60,T6,1,SHET,1,1.0178,56.82,1.1,0.9,1.1,0.9
10740,,,BLHI4-,400,1,SHET,60,T6,1,SHET,1,1.0097,88.08,1.1,0.9,1.1,0.9
10749,,,BLHI4R,400,1,SHET,60,T6,1,SHET,-2,1.01,88.11,1.1,0.9,1.1,0.9
10781,,,CLAS81,0.7,1,SHET,64,T6 ON WIND,1,SHET,2,1.02,57.63,1.1,0.9,1.1,0.9
10811,,,BOAG1Q,132,1,SHET,10,T1,1,SHET,1,1.014,84.67,1.1,0.9,1.1,0.9
10812,,,BOAG1R,132,1,SHET,10,T1,1,SHET,1,1.0054,83.98,1.1,0.9,1.1,0.9
